date,season,holiday,weekday,workingday,weather,temp,feeltemp,hum,windspeed,casual,registered,total
1/1/2011,Spring,0,6,0,2,14.51537596,15.56465563,80.5833,7.701247554,331,654,985
1/2/2011,Spring,0,7,0,2,15.05376664,15.2650604,69.6087,11.92962346,131,670,801
1/3/2011,Spring,0,1,1,1,10.39462832,10.28491853,43.7273,11.91858369,120,1229,1349
1/4/2011,Spring,0,2,1,1,10.496,10.97335721,59.0435,7.694047704,108,1454,1562
1/5/2011,Spring,0,3,1,1,11.24756116,11.49302735,43.6957,8.9710131,82,1518,1600
1/6/2011,Spring,0,4,1,1,10.61722224,11.61239875,51.8261,4.299040035,88,1518,1606
1/7/2011,Spring,0,5,1,2,10.39903336,10.8738659,49.8696,8.098679274,148,1362,1510
1/8/2011,Spring,0,6,0,2,9.5202,9.46210747,53.5833,12.8063252,68,891,959
1/9/2011,Spring,0,7,0,1,8.77672404,8.065683375,43.4167,17.37323805,54,768,822
1/10/2011,Spring,0,1,1,1,9.12522404,9.11766084,48.2917,10.71659273,41,1280,1321
1/11/2011,Spring,0,2,1,2,9.63425708,10.34731652,68.6364,5.862213868,43,1220,1263
1/12/2011,Spring,0,3,1,1,9.73562876,9.408134265,59.9545,14.62179137,25,1137,1162
1/13/2011,Spring,0,4,1,1,9.5202,9.117509315,47.0417,14.447699,38,1368,1406
1/14/2011,Spring,0,5,1,1,9.4050556,10.25485597,53.7826,6.074177452,54,1367,1421
1/15/2011,Spring,0,6,0,2,11.42532404,12.06403416,49.875,7.582066037,222,1026,1248
1/16/2011,Spring,0,7,0,1,11.37887596,11.64294619,48.375,9.044595567,251,953,1204
1/17/2011,Spring,1,1,0,2,9.82222404,9.902045155,53.75,9.312621983,117,883,1000
1/18/2011,Spring,0,2,1,2,10.96067596,11.58585157,86.1667,7.045053225,9,674,683
1/19/2011,Spring,0,3,1,2,13.06581112,13.58867871,74.1739,9.999007683,78,1572,1650
1/20/2011,Spring,0,4,1,2,12.21527596,12.27429025,53.8333,9.403196096,83,1844,1927
1/21/2011,Spring,0,5,1,1,9.8687,9.328129065,45.7083,16.95526276,75,1468,1543
1/22/2011,Spring,0,6,0,1,6.568555552,6.941204228,40,8.25438803,93,888,981
1/23/2011,Spring,0,7,0,1,7.611024996,7.540318926,43.6522,11.8365534,150,836,986
1/24/2011,Spring,0,1,1,1,7.635269444,8.11886865,49.1739,7.59968167,86,1330,1416
1/25/2011,Spring,0,2,1,2,11.15056664,11.65231043,61.6957,6.230078204,186,1799,1985
1/26/2011,Spring,0,3,1,3,10.9839,10.715098,86.25,14.10450615,34,472,506
1/27/2011,Spring,0,4,1,1,10.3566,11.2030085,68.75,5.464062163,15,416,431
1/28/2011,Spring,0,5,1,2,10.59296664,11.31262169,79.3043,5.9182767,38,1129,1167
1/29/2011,Spring,0,6,0,1,10.39903336,10.97347843,65.1739,6.977374635,123,975,1098
1/30/2011,Spring,0,7,0,1,10.95663336,12.13100821,72.2174,3.551090817,140,956,1096
1/31/2011,Spring,0,1,1,2,9.96162404,10.18930625,60.375,8.985028808,42,1459,1501
2/1/2011,Spring,0,2,1,2,10.27781112,11.65243165,82.9565,2.554170787,47,1313,1360
2/2/2011,Spring,0,3,1,2,12.1688,12.25510719,77.5417,12.68651969,72,1454,1526
2/3/2011,Spring,0,4,1,1,10.13236116,9.93559279,43.7826,13.33181825,61,1489,1550
2/4/2011,Spring,0,5,1,2,10.81115552,11.47232904,58.5217,6.136144161,88,1620,1708
2/5/2011,Spring,0,6,0,2,11.42532404,11.91087269,92.9167,7.731630921,100,905,1005
2/6/2011,Spring,0,7,0,1,12.88902404,13.38408966,56.8333,6.8062582,354,1269,1623
2/7/2011,Spring,0,1,1,1,12.49407596,13.74735569,73.8333,2.179552992,120,1592,1712
2/8/2011,Spring,0,2,1,1,11.07682404,10.55284503,53.7917,17.37323805,64,1466,1530
2/9/2011,Spring,0,3,1,2,8.67775004,8.917496315,49.4783,9.064083161,53,1552,1605
2/10/2011,Spring,0,4,1,1,8.94442224,9.07705214,43.7391,10.65265807,47,1491,1538
2/11/2011,Spring,0,5,1,1,10.19185708,11.01539025,50.6364,5.21029145,149,1597,1746
2/12/2011,Spring,0,6,0,1,11.1233,11.60467097,54.4167,9.761412633,288,1184,1472
2/13/2011,Spring,0,7,0,1,13.74463336,14.36724447,45.7391,12.52212312,397,1192,1589
2/14/2011,Spring,0,1,1,1,16.4902,16.61699675,37.5833,20.05916609,208,1705,1913
2/15/2011,Spring,0,2,1,1,12.33850556,12.25077357,31.4348,13.98566063,140,1675,1815
2/16/2011,Spring,0,3,1,1,13.79311668,14.127441,42.3478,12.08571621,218,1897,2115
2/17/2011,Spring,0,4,1,1,17.07102404,17.53548069,50.5,11.0447619,259,2216,2475
2/18/2011,Spring,0,5,1,1,19.46407596,20.06064482,51.6667,12.71613508,579,2348,2927
2/19/2011,Spring,0,6,0,1,16.04877596,16.40649822,18.7917,24.35771654,532,1103,1635
2/20/2011,Spring,0,7,0,1,12.87184996,12.94948565,40.7826,10.71505677,639,1173,1812
2/21/2011,Spring,1,1,0,2,13.37692404,13.15389288,60.5,14.77630015,195,912,1107
2/22/2011,Spring,0,2,1,1,10.00034936,10.18273007,57.7778,9.392588317,74,1376,1450
2/23/2011,Spring,0,3,1,1,11.10208332,11.99145369,42.3043,4.517329887,139,1778,1917
2/24/2011,Spring,0,4,1,2,13.16277776,13.30893326,69.7391,12.0235575,100,1707,1807
2/25/2011,Spring,0,5,1,2,15.07802224,15.16572061,71.2174,16.63352546,120,1341,1461
2/26/2011,Spring,0,6,0,1,12.7961,13.09682856,53.7917,8.955221429,424,1545,1969
2/27/2011,Spring,0,7,0,1,14.49616664,15.18535825,68,6.011778752,694,1708,2402
2/28/2011,Spring,0,1,1,2,16.27477124,16.67057599,87.6364,13.90463831,81,1365,1446
3/1/2011,Spring,0,2,1,1,12.35467596,12.5418531,53.5,10.38818358,137,1714,1851
3/2/2011,Spring,0,3,1,1,14.2598,14.24475166,44.9583,14.77567617,231,1903,2134
3/3/2011,Spring,0,4,1,1,10.44952404,10.61003057,31.8333,10.83596625,123,1562,1685
3/4/2011,Spring,0,5,1,2,12.21527596,12.2933521,61.0417,9.760404654,214,1730,1944
3/5/2011,Spring,0,6,0,2,15.63057596,16.0238976,78.9167,12.08955613,640,1437,2077
3/6/2011,Spring,0,7,0,2,15.41743336,15.64426686,94.8261,16.47743271,114,491,605
3/7/2011,Spring,0,1,1,1,12.21728332,11.77156061,55.1304,16.38455465,244,1628,1872
3/8/2011,Spring,0,2,1,1,13.0749,13.709232,42.0833,5.79107935,316,1817,2133
3/9/2011,Spring,0,3,1,2,13.16782404,13.23065544,77.5417,10.56697985,191,1700,1891
3/10/2011,Spring,0,4,1,3,15.76785708,16.23266874,0,12.56983412,46,577,623
3/11/2011,Spring,0,5,1,2,13.74463336,13.788025,64.9565,11.18232703,247,1730,1977
3/12/2011,Spring,0,6,0,1,14.09717596,14.41685375,59.4583,10.59697923,724,1408,2132
3/13/2011,Spring,0,7,0,1,15.63562224,16.06365776,52.7391,12.9887214,982,1435,2417
3/14/2011,Spring,0,1,1,1,13.98704996,14.60626,49.6957,6.572311074,359,1687,2046
3/15/2011,Spring,0,2,1,2,13.76886108,14.18738429,65.5652,8.846647691,289,1767,2056
3/16/2011,Spring,0,3,1,2,15.10224996,15.66481365,77.6522,9.749412883,321,1871,2192
3/17/2011,Spring,0,4,1,1,16.4902,16.98014157,60.2917,10.05958242,424,2320,2744
3/18/2011,Spring,0,5,1,1,19.9752,20.51600775,52.5217,11.08858498,884,2355,3239
3/19/2011,Spring,0,6,0,1,18.0933,18.68304013,37.9167,17.67164783,1424,1693,3117
3/20/2011,Spring,0,7,0,1,14.1901,14.41685375,47.375,9.970400279,1047,1424,2471
3/21/2011,Summer,0,1,1,2,28.3898309,25.77851623,78.203453,16.45976465,401,1676,2077
3/22/2011,Summer,0,2,1,1,28.63850738,26.80880107,68.840389,12.86707275,460,2243,2703
3/23/2011,Summer,0,3,1,2,26.54162798,23.38519657,86.683895,13.35217422,203,1918,2121
3/24/2011,Summer,0,4,1,2,25.1699,21.14821806,83.884139,13.89512764,166,1699,1865
